Datum,min,max
19/03/2016,-12.9,-2.8
20/03/2016,-16.5,-2.1
21/03/2016,-24,-3.1
22/03/2016,-26.2,-2
23/03/2016,-21.5,-2.5
24/03/2016,-15.5,-0.3
25/03/2016,-18.3,-0.2
26/03/2016,-2,5.7
27/03/2016,-0.7,5.1
28/03/2016,1.3,5.3
29/03/2016,-2.6,7
30/03/2016,1,4.7
31/03/2016,-3.2,6.8
01/04/2016,-12.2,4.6
02/04/2016,-12.7,6.1
03/04/2016,-12.8,6
04/04/2016,-1.1,5.4
05/04/2016,-0.1,3.3
06/04/2016,-0.8,2.8
07/04/2016,0.3,2.4
08/04/2016,0.6,2.9
09/04/2016,-0.1,4.8
10/04/2016,-0.1,4.3
11/04/2016,-4,5.2
12/04/2016,-2.9,5.4
13/04/2016,-5.9,0.1
14/04/2016,-16.5,2.1
15/04/2016,-5.4,3
16/04/2016,-4.2,1.8
17/04/2016,0.7,4.1
18/04/2016,-8,5.1
19/04/2016,-1.1,2.9
20/04/2016,-1.9,2.2
21/04/2016,-13.2,3.5
22/04/2016,-1.5,4.8
23/04/2016,-3.3,3.3
24/04/2016,-10.8,5
25/04/2016,-8.3,4.4
26/04/2016,-0.4,5.7
27/04/2016,2,10.1
28/04/2016,0.6,9.1
29/04/2016,4.4,16.2
30/04/2016,0.2,13.2
01/05/2016,-1.8,14.7
02/05/2016,-2.7,11.3
03/05/2016,-4.5,13.2
04/05/2016,-2.3,16.9
05/05/2016,-2.6,13.4
06/05/2016,0.6,14.7
07/05/2016,-3.1,16.4
08/05/2016,-1.6,16.1
09/05/2016,0.9,12.3
10/05/2016,-1.8,11.3
11/05/2016,-1.6,11.2
12/05/2016,-0.8,12.9
13/05/2016,-1.1,10.9
14/05/2016,-3.6,13
15/05/2016,3.1,13.7
16/05/2016,-4.1,15
17/05/2016,0.3,12.3
18/05/2016,-5.3,10.2
19/05/2016,-5.4,9.9
20/05/2016,-0.2,12.6
21/05/2016,0.2,18.4
22/05/2016,6,17.2
23/05/2016,5.6,15.3
24/05/2016,9.9,17.3
25/05/2016,5.2,16.1
26/05/2016,0.3,15
27/05/2016,-1.8,19
28/05/2016,0.6,22.5
29/05/2016,4.2,25.5
30/05/2016,5.2,24.3
31/05/2016,7.8,23.9
01/06/2016,12.2,23.4
02/06/2016,7.2,19.7
03/06/2016,2.4,17.7
04/06/2016,3.6,10.6
05/06/2016,2.7,8.5
06/06/2016,4.4,14.1
07/06/2016,5.2,16.1
08/06/2016,2.6,14.2
09/06/2016,1.9,6.1
10/06/2016,4.4,9.7
11/06/2016,1.1,14.5
12/06/2016,0.3,16.4
13/06/2016,4.8,16.3
14/06/2016,4.9,14.5
15/06/2016,5.2,16.7
16/06/2016,8.3,22.6
17/06/2016,10.7,19.1
18/06/2016,12,20.2
19/06/2016,8.1,15.2
20/06/2016,5.9,13.1
21/06/2016,4,15.6
22/06/2016,11.2,18.6
23/06/2016,2,21
24/06/2016,10.5,21.1
25/06/2016,6,20.3
26/06/2016,4.4,20.1
27/06/2016,6,23.2
28/06/2016,13.2,19.1
29/06/2016,10.2,21.3
30/06/2016,9.6,22.5
01/07/2016,9.7,22.1
02/07/2016,13.9,20.6
03/07/2016,13.8,19.6
04/07/2016,9.4,18
05/07/2016,11.2,16.1
06/07/2016,13,20.7
07/07/2016,13.1,19.4
08/07/2016,11.2,15
09/07/2016,11.1,16.3
10/07/2016,8,20.2
11/07/2016,9,22.5
12/07/2016,6,25.2
13/07/2016,9.6,22.3
14/07/2016,6.4,22.7
15/07/2016,11.3,21.1
16/07/2016,13.2,18
17/07/2016,12.7,18.4
18/07/2016,6.2,18.1
19/07/2016,0.9,19.5
20/07/2016,1,23.8
21/07/2016,3.4,26
22/07/2016,5.6,26.6
23/07/2016,5.4,26.5
24/07/2016,6.7,28.1
25/07/2016,11.4,26.3
26/07/2016,9.9,25.2
27/07/2016,11.3,22.1
28/07/2016,8.4,22.8
29/07/2016,6.8,21.6
30/07/2016,6.9,22.7
31/07/2016,8.5,19.8
01/08/2016,13.2,18.4
02/08/2016,11.6,18
03/08/2016,10.5,17.5
04/08/2016,7,20
05/08/2016,4,22
06/08/2016,4.3,21.7
07/08/2016,10.2,20.8
08/08/2016,9.9,17.6
09/08/2016,11.8,18.5
10/08/2016,7.6,15.3
11/08/2016,5.7,15.6
12/08/2016,2.8,12.2
13/08/2016,8.3,12.1
14/08/2016,8.2,12.6
15/08/2016,9.4,12.3
16/08/2016,8.8,17.8
17/08/2016,5.7,16.4
18/08/2016,3.1,19.3
19/08/2016,3,17.5
20/08/2016,14.2,19.1
21/08/2016,10.8,21.1
22/08/2016,9.5,16.6
23/08/2016,9.6,14.1
24/08/2016,4.2,16.6
25/08/2016,1.1,13.1
26/08/2016,4.3,17.1
27/08/2016,5,9
28/08/2016,-2,13.4
29/08/2016,-3,15.9
30/08/2016,-1.5,12.6
31/08/2016,3.4,12.7
01/09/2016,10.4,18.8
02/09/2016,1.6,13.3
03/09/2016,-2,12.3
04/09/2016,0.3,15.4
05/09/2016,-0.9,12.4
06/09/2016,-4.6,12.8
07/09/2016,7.5,14.9
08/09/2016,7.5,13.7
09/09/2016,3.2,13.3
10/09/2016,7.9,10.1
11/09/2016,9.6,11.9
12/09/2016,8.4,13.9
13/09/2016,1.2,14.4
14/09/2016,0.1,17.4
15/09/2016,3.8,13.6
16/09/2016,-0.3,12.6
17/09/2016,-4.8,12.6
18/09/2016,-2,14.8
