Datum,precip_mm
25/11/2013,0
26/11/2013,7.6
27/11/2013,1.6
28/11/2013,0.1
29/11/2013,0.3
30/11/2013,0.2
01/12/2013,0
02/12/2013,0.4
03/12/2013,0.7
04/12/2013,0.4
05/12/2013,3
06/12/2013,0.1
07/12/2013,0
08/12/2013,0
09/12/2013,0.1
10/12/2013,1.5
11/12/2013,0
12/12/2013,0.4
13/12/2013,0
14/12/2013,0.9
15/12/2013,2.6
16/12/2013,1.2
17/12/2013,0.1
18/12/2013,0
19/12/2013,5.1
20/12/2013,8.4
21/12/2013,0.8
22/12/2013,1.1
23/12/2013,0
24/12/2013,4
25/12/2013,3.6
26/12/2013,0
27/12/2013,2.3
28/12/2013,1.3
29/12/2013,0.8
30/12/2013,0.3
31/12/2013,5.2
01/01/2014,1.1
02/01/2014,0.5
03/01/2014,0.1
04/01/2014,0.4
05/01/2014,0.7
06/01/2014,4
07/01/2014,4.7
08/01/2014,9.4
09/01/2014,2.4
10/01/2014,0
11/01/2014,0
12/01/2014,0
13/01/2014,0.2
14/01/2014,0
15/01/2014,0.2
16/01/2014,0.3
17/01/2014,0.2
18/01/2014,0
19/01/2014,0.1
20/01/2014,0
21/01/2014,0
22/01/2014,0.1
23/01/2014,0.1
24/01/2014,0
25/01/2014,0.2
26/01/2014,0
27/01/2014,0.6
28/01/2014,0.2
29/01/2014,0
30/01/2014,0.1
31/01/2014,0.2
01/02/2014,2.2
02/02/2014,0.9
03/02/2014,0
04/02/2014,0
05/02/2014,0.3
06/02/2014,0.2
07/02/2014,0.2
08/02/2014,4.3
09/02/2014,0.5
10/02/2014,0.9
11/02/2014,2.7
12/02/2014,1.8
13/02/2014,1.3
14/02/2014,1.5
15/02/2014,1.1
16/02/2014,1.6
17/02/2014,2.7
18/02/2014,0.5
19/02/2014,0.2
20/02/2014,1
21/02/2014,4.7
22/02/2014,0.1
23/02/2014,0.7
24/02/2014,0
25/02/2014,1.9
26/02/2014,0.2
27/02/2014,0.2
28/02/2014,0
01/03/2014,0.5
02/03/2014,0.4
03/03/2014,0.7
04/03/2014,0
05/03/2014,0
06/03/2014,0.1
07/03/2014,5.4
08/03/2014,0
09/03/2014,0
10/03/2014,0
11/03/2014,0
12/03/2014,0.1
13/03/2014,3.4
14/03/2014,0.2
15/03/2014,0.3
16/03/2014,0
17/03/2014,0
18/03/2014,0
19/03/2014,0
20/03/2014,5.1
21/03/2014,0.8
22/03/2014,0.5
23/03/2014,0.8
24/03/2014,0
25/03/2014,0
26/03/2014,0
27/03/2014,0
28/03/2014,0
29/03/2014,0
30/03/2014,0.1
31/03/2014,0
01/04/2014,0
02/04/2014,0.1
03/04/2014,0.4
04/04/2014,0.2
05/04/2014,0
06/04/2014,0
07/04/2014,0
08/04/2014,0
09/04/2014,0
10/04/2014,0.2
11/04/2014,0
12/04/2014,0.9
13/04/2014,0.4
14/04/2014,0
15/04/2014,0
16/04/2014,0
17/04/2014,5.4
18/04/2014,0
19/04/2014,0
20/04/2014,0
21/04/2014,0.1
22/04/2014,0
23/04/2014,0
24/04/2014,0
25/04/2014,0
26/04/2014,0.2
27/04/2014,3
28/04/2014,4
29/04/2014,3.4
30/04/2014,0
01/05/2014,0
02/05/2014,0
03/05/2014,0.4
04/05/2014,0
05/05/2014,0
06/05/2014,0
07/05/2014,0.1
08/05/2014,0
09/05/2014,0.1
10/05/2014,2.9
11/05/2014,0
12/05/2014,1
13/05/2014,0
14/05/2014,0
15/05/2014,0.5
16/05/2014,0
17/05/2014,0.1
18/05/2014,0
19/05/2014,0
20/05/2014,6.3
