Datum,precip_mm
14/08/2010,1.1
15/08/2010,0
16/08/2010,0
17/08/2010,0
18/08/2010,0
19/08/2010,0
20/08/2010,0
21/08/2010,0
22/08/2010,3.4
23/08/2010,0.1
24/08/2010,0
25/08/2010,0
26/08/2010,0.2
27/08/2010,0.1
28/08/2010,0.3
29/08/2010,0
30/08/2010,0.4
31/08/2010,1.4
01/09/2010,6
02/09/2010,0
03/09/2010,0
04/09/2010,0.6
05/09/2010,0
06/09/2010,0
07/09/2010,0
08/09/2010,0
09/09/2010,0
10/09/2010,0
11/09/2010,0
12/09/2010,0.4
13/09/2010,0
14/09/2010,2.2
15/09/2010,4.4
16/09/2010,6.1
17/09/2010,0
18/09/2010,0
19/09/2010,0
20/09/2010,0.4
21/09/2010,0
22/09/2010,0
23/09/2010,2.3
24/09/2010,0
25/09/2010,0
26/09/2010,0
27/09/2010,0.1
28/09/2010,1.2
29/09/2010,0
30/09/2010,0
01/10/2010,0
02/10/2010,0
03/10/2010,0
04/10/2010,0
05/10/2010,0
06/10/2010,0
07/10/2010,0
08/10/2010,0
09/10/2010,0.3
10/10/2010,0.1
11/10/2010,1.3
12/10/2010,0
13/10/2010,0
14/10/2010,0
15/10/2010,0
16/10/2010,0.2
17/10/2010,0.1
18/10/2010,0
19/10/2010,3.6
20/10/2010,8.6
21/10/2010,6.7
22/10/2010,0
23/10/2010,4
24/10/2010,0
25/10/2010,0
26/10/2010,0
27/10/2010,3.4
28/10/2010,3.6
29/10/2010,0
30/10/2010,8.1
31/10/2010,0.2
01/11/2010,0
02/11/2010,1.1
03/11/2010,0.6
04/11/2010,0
05/11/2010,0
06/11/2010,0.4
07/11/2010,0.2
08/11/2010,0
09/11/2010,0
10/11/2010,1.8
11/11/2010,3.2
12/11/2010,2.3
13/11/2010,0
14/11/2010,0.1
15/11/2010,0.2
16/11/2010,0
17/11/2010,0
18/11/2010,0
19/11/2010,0.4
20/11/2010,0
21/11/2010,0.3
22/11/2010,0.8
23/11/2010,0
24/11/2010,0
25/11/2010,0.3
26/11/2010,0
27/11/2010,0
28/11/2010,0
29/11/2010,0
30/11/2010,0
01/12/2010,0
02/12/2010,0
03/12/2010,1.8
04/12/2010,0.8
05/12/2010,0.3
06/12/2010,0.2
07/12/2010,0.3
08/12/2010,0.2
09/12/2010,0.1
10/12/2010,0.1
11/12/2010,0
12/12/2010,0
13/12/2010,0.1
14/12/2010,0
15/12/2010,3.8
16/12/2010,3.9
17/12/2010,0.5
18/12/2010,0.4
19/12/2010,0.4
20/12/2010,0.4
21/12/2010,0.6
22/12/2010,0.2
23/12/2010,0
24/12/2010,0.1
25/12/2010,0
26/12/2010,0
27/12/2010,0
28/12/2010,0
29/12/2010,0.3
30/12/2010,0.4
31/12/2010,0
01/01/2011,0.3
02/01/2011,0.1
03/01/2011,0
04/01/2011,0.3
05/01/2011,0.3
06/01/2011,0.7
07/01/2011,0.8
08/01/2011,0.2
09/01/2011,4.2
10/01/2011,0.8
11/01/2011,2.4
12/01/2011,0.4
13/01/2011,0.4
14/01/2011,0
15/01/2011,0.1
16/01/2011,0
17/01/2011,0.7
18/01/2011,0.2
19/01/2011,0
20/01/2011,0.1
21/01/2011,0.6
